GameDate,GameStartET,DateId,VisitorTeamName,VisitorPoints,HomeTeamName,HomePoints,Overtime,Attendance,ArenaName
2017-11-22,8:00p,37,Denver Nuggets,95,Houston Rockets,125,,18055,Toyota Center
2017-11-22,8:00p,37,Dallas Mavericks,95,Memphis Grizzlies,94,,16101,FedExForum
2017-11-22,8:00p,37,Orlando Magic,118,Minnesota Timberwolves,124,,16402,Target Center
2017-11-22,8:00p,37,San Antonio Spurs,90,New Orleans Pelicans,107,,17539,Smoothie King Center
2017-11-22,8:00p,37,Golden State Warriors,91,Oklahoma City Thunder,108,,18203,Chesapeake Energy Arena
2017-11-22,9:00p,37,Milwaukee Bucks,113,Phoenix Suns,107,OT,16270,Talking Stick Resort Arena
2017-11-22,9:00p,37,Chicago Bulls,80,Utah Jazz,110,,17434,Vivint Smart Home Arena
2017-11-22,10:30p,37,Los Angeles Lakers,102,Sacramento Kings,113,,17583,Golden 1 Center
2017-11-24,12:00p,38,Portland Trail Blazers,127,Brooklyn Nets,125,,15246,Barclays Center
2017-11-24,7:30p,38,New York Knicks,104,Atlanta Hawks,116,,14355,State Farm Arena
2017-11-24,7:30p,38,Orlando Magic,103,Boston Celtics,118,,18624,TD Garden
2017-11-24,8:00p,38,Charlotte Hornets,99,Cleveland Cavaliers,100,,20562,Rocket Mortgage FieldHouse
2017-11-24,8:00p,38,Toronto Raptors,104,Indiana Pacers,107,,16523,Bankers Life Fieldhouse
2017-11-24,8:00p,38,Miami Heat,109,Minnesota Timberwolves,97,,18978,Target Center
2017-11-24,8:00p,38,Detroit Pistons,99,Oklahoma City Thunder,98,,18203,Chesapeake Energy Arena
2017-11-24,9:00p,38,Memphis Grizzlies,92,Denver Nuggets,104,,16736,Pepsi Center
