MemberID,FirstName,LastName,TeamName
381,Andre,Roberson,Oklahoma City Thunder
382,Isaiah,Roby,Oklahoma City Thunder
383,Dennis,Schroder,Oklahoma City Thunder
384,Carmelo,Anthony,Portland Trail Blazers
385,Trevor,Ariza,Portland Trail Blazers
386,Moses,Brown,Portland Trail Blazers
387,Zach,Collins,Portland Trail Blazers
388,Wenyen,Gabriel,Portland Trail Blazers
389,Mario,Hezonja,Portland Trail Blazers
390,Jaylen,Hoard,Portland Trail Blazers
391,Rodney,Hood,Portland Trail Blazers
392,Damian,Lillard,Portland Trail Blazers
393,Nassir,Little,Portland Trail Blazers
394,CJ,McCollum,Portland Trail Blazers
395,Jusuf,Nurkic,Portland Trail Blazers
396,Anfernee,Simons,Portland Trail Blazers
397,Caleb,Swanigan,Portland Trail Blazers
398,Gary,Trent,Portland Trail Blazers
399,Hassan,Whiteside,Portland Trail Blazers
400,Bojan,Bogdanovic,Utah Jazz
401,Tony,Bradley,Utah Jazz
402,Jarrell,Brantley,Utah Jazz
403,Jordan,Clarkson,Utah Jazz
404,Mike,Conley,Utah Jazz
405,Ed,Davis,Utah Jazz
406,Rudy,Gobert,Utah Jazz
407,Joe,Ingles,Utah Jazz
408,Donovan,Mitchell,Utah Jazz
409,Juwan,Morgan,Utah Jazz
410,Emmanuel,Mudiay,Utah Jazz
411,Georges,Niang,Utah Jazz
412,Royce,O'Neale,Utah Jazz
413,Miye,Oni,Utah Jazz
414,Rayjon,Tucker,Utah Jazz
415,Nigel,Williams-Goss,Utah Jazz
416,Justin,Wright-Foreman,Utah Jazz
417,Dragan,Bender,Golden State Warriors
418,Ky,Bowman,Golden State Warriors
419,Marquese,Chriss,Golden State Warriors
420,Stephen,Curry,Golden State Warriors
421,Draymond,Green,Golden State Warriors
422,Damion,Lee,Golden State Warriors
423,Kevon,Looney,Golden State Warriors
424,Mychal,Mulder,Golden State Warriors
425,Eric,Paschall,Golden State Warriors
426,Jordan,Poole,Golden State Warriors
427,Chasson,Randle,Golden State Warriors
428,Alen,Smailagic,Golden State Warriors
429,Klay,Thompson,Golden State Warriors
430,Juan,Toscano-Anderson,Golden State Warriors
431,Andrew,Wiggins,Golden State Warriors
432,Patrick,Beverley,Los Angeles Clippers
433,Amir,Coffey,Los Angeles Clippers
434,Paul,George,Los Angeles Clippers
435,JaMychal,Green,Los Angeles Clippers
436,Montrezl,Harrell,Los Angeles Clippers
437,Reggie,Jackson,Los Angeles Clippers
438,Mfiondu,Kabengele,Los Angeles Clippers
439,Kawhi,Leonard,Los Angeles Clippers
440,Terance,Mann,Los Angeles Clippers
441,Rodney,McGruder,Los Angeles Clippers
442,Marcus,Morris,Los Angeles Clippers
443,Johnathan,Motley,Los Angeles Clippers
444,Patrick,Patterson,Los Angeles Clippers
445,Landry,Shamet,Los Angeles Clippers
446,Lou,Williams,Los Angeles Clippers
447,Ivica,Zubac,Los Angeles Clippers
448,Kostas,Antetokounmpo,Los Angeles Lakers
449,Avery,Bradley,Los Angeles Lakers
450,Devontae,Cacok,Los Angeles Lakers
451,Kentavious,Caldwell-Pope,Los Angeles Lakers
452,Alex,Caruso,Los Angeles Lakers
453,Quinn,Cook,Los Angeles Lakers
454,Anthony,Davis,Los Angeles Lakers
455,Jared,Dudley,Los Angeles Lakers
456,Danny,Green,Los Angeles Lakers
457,Talen,Horton-Tucker,Los Angeles Lakers
458,Dwight,Howard,Los Angeles Lakers
459,LeBron,James,Los Angeles Lakers
460,Kyle,Kuzma,Los Angeles Lakers
461,JaVale,McGee,Los Angeles Lakers
462,Markieff,Morris,Los Angeles Lakers
463,Rajon,Rondo,Los Angeles Lakers
464,Dion,Waiters,Los Angeles Lakers
465,Deandre,Ayton,Phoenix Suns
466,Aron,Baynes,Phoenix Suns
467,Devin,Booker,Phoenix Suns
468,Mikal,Bridges,Phoenix Suns
469,Jevon,Carter,Phoenix Suns
470,Cheick,Diallo,Phoenix Suns
471,Jared,Harper,Phoenix Suns
472,Ty,Jerome,Phoenix Suns
473,Cameron,Johnson,Phoenix Suns
474,Frank,Kaminsky,Phoenix Suns
475,Jalen,Lecque,Phoenix Suns
476,Elie,Okobo,Phoenix Suns
477,Kelly,Oubre,Phoenix Suns
478,Tariq,Owens,Phoenix Suns
479,Ricky,Rubio,Phoenix Suns
480,Dario,Saric,Phoenix Suns
481,Marvin,Bagley,Sacramento Kings
482,Harrison,Barnes,Sacramento Kings
483,Kent,Bazemore,Sacramento Kings
484,Nemanja,Bjelica,Sacramento Kings
485,Bogdan,Bogdanovic,Sacramento Kings
486,Yogi,Ferrell,Sacramento Kings
487,De'Aaron,Fox,Sacramento Kings
488,Harry,Giles,Sacramento Kings
489,Kyle,Guy,Sacramento Kings
490,Buddy,Hield,Sacramento Kings
491,Richaun,Holmes,Sacramento Kings
492,Justin,James,Sacramento Kings
493,DaQuan,Jeffries,Sacramento Kings
494,Cory,Joseph,Sacramento Kings
495,Alex,Len,Sacramento Kings
496,Eric,Mika,Sacramento Kings
497,Jabari,Parker,Sacramento Kings
498,Lloyd,Pierce,Atlanta Hawks
499,Brad,Stevens,Boston Celtics
500,Jacque,Vaughn,Brooklyn Nets
501,James,Borrego,Charlotte Hornets
502,Jim,Boylen,Chicago Bulls
503,J. B.,Bickerstaff,Cleveland Cavaliers
504,Rick,Carlisle,Dallas Mavericks
505,Michael,Malone,Denver Nuggets
506,Dwane,Casey,Detroit Pistons
507,Steve,Kerr,Golden State Warriors
508,Mike,D'Antoni,Houston Rockets
509,Nate,McMillan,Indiana Pacers
510,Doc,Rivers,Los Angeles Clippers
511,Frank,Vogel,Los Angeles Lakers
512,Taylor,Jenkins,Memphis Grizzlies
513,Erik,Spoelstra,Miami Heat
514,Mike,Budenholzer,Milwaukee Bucks
515,Ryan,Saunders,Minnesota Timberwolves
516,Alvin,Gentry,New Orleans Pelicans
517,Mike,Miller,New York Knicks
518,Billy,Donovan,Oklahoma City Thunder
519,Steve,Clifford,Orlando Magic
520,Brett,Brown,Philadelphia 76ers
521,Monty,Williams,Phoenix Suns
522,Terry,Stotts,Portland Trail Blazers
523,Luke,Walton,Sacramento Kings
524,Gregg,Popovich,San Antonio Spurs
525,Nick,Nurse,Toronto Raptors
526,Quin,Snyder,Utah Jazz
527,Scott,Brooks,Washington Wizards
